"ID","Address","DateOfSale","SalePrice","IsAStudio","Beds","Baths","Size","LotSize","BuiltInYear"
15063471,"55 Vandewater St APT 9, San Francisco, CA","12/4/15","0.71","0.0","1.0","","0.55","","1980.0"
15063505,"740 Francisco St, San Francisco, CA","11/30/15","2.15","0.0","","2.0","1.43","2.435","1948.0"
15063609,"819 Francisco St, San Francisco, CA","11/12/15","5.6","0.0","2.0","3.5","2.04","3.92","1976.0"
15064044,"199 Chestnut St APT 5, San Francisco, CA","12/11/15","1.5","0.0","1.0","1.0","1.06","","1930.0"
15064257,"111 Chestnut St APT 403, San Francisco, CA","1/15/16","0.97","0.0","2.0","2.0","1.299","","1993.0"
15064295,"111 Chestnut St APT 702, San Francisco, CA","12/17/15","0.94","0.0","2.0","2.0","1.033","","1993.0"
15064391,"1821 Grant Ave APT 101, San Francisco, CA","12/15/15","0.835","0.0","1.0","1.0","1.048","","1975.0"
15064536,"2300 Leavenworth St, San Francisco, CA","12/4/15","2.83","0.0","3.0","2.0","2.115","1.271","1913.0"
15064640,"1047-1049 Lombard St, San Francisco, CA","1/14/16","4.05","1.0","","","4.102","3.049","1948.0"
15064669,"1055 Lombard St # C, San Francisco, CA","12/31/15","2.19","0.0","2.0","3.0","1.182","","1986.0"
15065032,"101 Lombard St APT 116E, San Francisco, CA","12/7/15","0.8","0.0","1.0","1.0","1.0","","1983.0"
15065140,"1407 Montgomery St APT 2, San Francisco, CA","1/28/16","0.976","0.0","1.0","1.0","1.0","","1870.0"
15065727,"1360 Montgomery St APT 1, San Francisco, CA","11/16/15","0.72","0.0","1.0","1.0","0.552","","1937.0"
15065810,"1327-1329 Kearny St, San Francisco, CA","11/25/15","2.25","0.0","","4.0","2.658","1.6","1906.0"
15065946,"44 Macondray Ln APT 2E, San Francisco, CA","11/30/15","1.29","0.0","2.0","2.0","1.165","","1980.0"
15066001,"1070 Green St APT 201, San Francisco, CA","11/18/15","2.9","0.0","2.0","2.0","1.465","","1963.0"
15066036,"1070 Green St APT 1402, San Francisco, CA","12/31/15","2.6","0.0","3.0","2.5","2.017","","1963.0"
15066085,"1907 Leavenworth St APT 8, San Francisco, CA","11/12/15","0.908","0.0","2.0","1.0","0.956","","1907.0"
15066201,"1101 Green St # 303, San Francisco, CA","11/16/15","1.21","0.0","2.0","1.0","1.003","","1930.0"
15066281,"1807 Jones St, San Francisco, CA","12/15/15","1.7","0.0","2.0","2.0","1.467","3.023","1922.0"
15066344,"999 Green St APT 905, San Francisco, CA","12/10/15","1.28","0.0","1.0","1.0","0.986","","1964.0"
15066608,"455 Vallejo St APT 111, San Francisco, CA","12/16/15","0.875","0.0","1.0","1.0","0.825","","1973.0"
15066839,"1163-1165 Vallejo St, San Francisco, CA","12/1/15","0.3","0.0","","2.0","2.344","1.376","1913.0"
15066959,"1300 Pacific Ave, San Francisco, CA","1/14/16","0.425","1.0","","2.0","0.989","","1910.0"
15067302,"948 Jackson St, San Francisco, CA","11/13/15","1.95","0.0","","4.0","4.362","1.459","1908.0"
15067583,"946 Stockton St APT 6B, San Francisco, CA","12/18/15","0.775","0.0","","2.0","0.71","","1970.0"
15067604,"946 Stockton St APT 9E, San Francisco, CA","12/2/15","0.705","0.0","2.0","2.0","0.744","","1970.0"
15067755,"1250 Clay St APT 306, San Francisco, CA","1/10/16","0.695","0.0","1.0","1.0","0.541","","1950.0"
15067890,"1250 Jones St APT 503, San Francisco, CA","12/4/15","1.41","0.0","1.0","1.0","1.25","","1929.0"
15067896,"1250 Jones St APT 802, San Francisco, CA","12/15/15","1.68","0.0","1.0","1.0","1.115","","1929.0"
15068039,"1170 Sacramento St APT 9B, San Francisco, CA","12/3/15","3.8","0.0","2.0","2.0","1.961","","1963.0"
15068514,"1177 California St APT 702, San Francisco, CA","12/18/15","0.665","0.0","1.0","1.0","0.511","","1978.0"
15068551,"1177 California St APT 501, San Francisco, CA","12/15/15","0.9","0.0","1.0","1.0","0.884","","1978.0"
15068580,"1177 California St APT 423, San Francisco, CA","12/29/15","0.738","1.0","","1.0","0.706","","1978.0"
15068592,"1177 California St APT 304, San Francisco, CA","12/1/15","0.79","0.0","1.0","1.0","0.645","","1977.0"
15068767,"767-771 Pine St, San Francisco, CA","12/31/15","2.49","0.0","","4.0","4.605","1.376","1909.0"
15068857,"1001 Pine St APT 608, San Francisco, CA","12/7/15","0.535","1.0","","1.0","0.45","","1964.0"
15068874,"1001 Pine St APT 801, San Francisco, CA","12/24/15","0.65","0.0","","1.0","0.65","","1963.0"
15069276,"795 Sutter St # 303, San Francisco, CA","11/15/15","1.2","0.0","3.0","2.0","1.753","","1913.0"
15069477,"631 Ofarrell St APT 816, San Francisco, CA","12/18/15","0.485","1.0","","1.0","0.48","","1930.0"
15069628,"47-49 Casa Way, San Francisco, CA","11/25/15","3.8","0.0","3.0","","3.905","2.748","1939.0"
15069883,"59 Rico Way, San Francisco, CA","12/21/15","2.55","0.0","3.0","1.5","1.675","2.613","1925.0"
15070227,"134 Alhambra St, San Francisco, CA","1/18/16","3.08","0.0","3.0","3.0","2.599","3.005","1925.0"
15070235,"180 Alhambra St, San Francisco, CA","12/7/15","3.33","0.0","","2.0","2.864","2.286","1925.0"
15070255,"146 Avila St, San Francisco, CA","12/23/15","3.02","0.0","3.0","3.0","2.1","2.495","1924.0"
15070544,"1051-1053 Francisco St, San Francisco, CA","12/1/15","9.71","0.0","5.0","6.0","4.65","4.726","1953.0"
15070728,"3315 Pierce St, San Francisco, CA","1/6/16","2.5","0.0","3.0","3.5","2.255","2.5","1925.0"
15070807,"1763-1765 Chestnut St, San Francisco, CA","12/1/15","1.38","0.0","","3.0","3.26","3.0","1920.0"
15071012,"2701 Van Ness Ave APT 207, San Francisco, CA","11/30/15","0.885","0.0","","1.0","0.885","","1929.0"
15071070,"2701 Van Ness Ave APT 702, San Francisco, CA","12/2/15","0.718","0.0","","1.0","0.793","","1929.0"
15071199,"2374-2376 Greenwich St, San Francisco, CA","11/23/15","6.0","0.0","4.0","5.0","4.178","2.495","1938.0"
15071224,"3126 Scott St APT 2, San Francisco, CA","12/7/15","1.35","0.0","2.0","2.0","1.367","","1970.0"
15071286,"3038 Pierce St, San Francisco, CA","12/7/15","1.15","0.0","2.0","2.0","1.15","","1906.0"
15071577,"1374 Union St, San Francisco, CA","12/2/15","3.0","0.0","3.0","3.5","3.105","","1907.0"
15072128,"1438 Green St UNIT 5A, San Francisco, CA","12/18/15","1.28","0.0","2.0","2.0","1.206","","1998.0"
15072153,"1353 Green St, San Francisco, CA","11/24/15","2.3","0.0","2.0","2.0","1.764","","1941.0"
15072263,"1795 Green St, San Francisco, CA","11/20/15","2.5","0.0","3.0","2.0","1.647","","1908.0"
15072504,"2660 Scott St, San Francisco, CA","12/8/15","13.1","0.0","7.0","8.0","9.19","5.623","1908.0"
15072510,"2535 Vallejo St, San Francisco, CA","11/23/15","5.6","0.0","","4.0","4.065","3.781","1908.0"
15072951,"1770 Pacific Ave APT 103, San Francisco, CA","11/25/15","1.76","0.0","2.0","2.0","1.5","","1902.0"
15072997,"1896 Pacific Ave APT 802, San Francisco, CA","12/15/15","0.25","0.0","2.0","2.5","2.272","","1924.0"
15073090,"2002 Pacific Ave APT 4, San Francisco, CA","1/20/16","4.2","0.0","3.0","3.5","3.291","","1961.0"
15073657,"1895 Pacific Ave APT 506, San Francisco, CA","11/20/15","0.975","0.0","1.0","1.0","1.165","","1931.0"
15074158,"1945 Washington St APT 411, San Francisco, CA","12/16/15","0.665","0.0","1.0","1.0","0.653","","1987.0"
15074306,"1950 Gough St APT 306, San Francisco, CA","12/21/15","1.15","0.0","1.0","1.0","1.0","","1926.0"
15074558,"2684-2686 Sacramento St, San Francisco, CA","12/8/15","2.71","0.0","","","2.84","2.674","1900.0"
15074647,"2619-2621 Sacramento St, San Francisco, CA","12/3/15","2.9","0.0","7.0","5.0","2.93","2.038","1900.0"
15075139,"2215 California St, San Francisco, CA","12/11/15","5.05","0.0","5.0","6.0","3.485","3.454","1900.0"
15075278,"2440 Bush St # C, San Francisco, CA","11/16/15","2.0","0.0","3.0","2.5","1.81","","1985.0"
15075410,"2015 Pine St # A, San Francisco, CA","12/1/15","0.795","0.0","1.0","1.0","0.708","","1900.0"
15075714,"1880 Steiner St APT 101, San Francisco, CA","12/22/15","1.35","0.0","2.0","3.0","1.332","","1999.0"
15076120,"2075 Sutter St APT 507, San Francisco, CA","12/4/15","1.31","0.0","2.0","2.0","1.084","","1992.0"
15076156,"1533 Sutter St, San Francisco, CA","11/12/15","5.53","0.0","6.0","7.5","7.375","2.748","1890.0"
15076294,"1450 Post St APT 1006, San Francisco, CA","11/16/15","0.17","0.0","","","0.545","","1992.0"
15076310,"1450 Post St APT 1108, San Francisco, CA","11/24/15","0.399","0.0","1.0","1.0","0.595","","1992.0"
15076450,"1483 Sutter St APT 1102, San Francisco, CA","11/19/15","0.69","0.0","1.0","1.0","0.65","","1993.0"
